お名前(HN可),所属陣営,銘柄コード,年末時点で2倍になりそうな銘柄は？
にからご,湘南投資勉強会,6547,グリーンズ インバウンド客の需要が続きそう。
にからご,湘南投資勉強会,6548,旅工房 黒字転換になりつつある。
天パの電波ちゃん,神戸投資勉強会,6550,Unipos
えむじぇい,湘南投資勉強会,6551,ツナグGHD  インフレによる内需活況恩恵。ストックビジネスへの評価是正。総会での社長の話を信じる。
Tommy,湘南投資勉強会,6551,ツナグＧＨＤ 103万円の壁見直しでパート・アルバイトの就労者増加を予想
ごんきち,湘南投資勉強会,6554,エスユーエス XR事業が評価される。VUZIからの流れ。
ちゃちゃ,神戸投資勉強会,6554,エスユーエス グロース×人材派遣
さざなみ,湘南投資勉強会,6560,LTS  　下がりすぎ、単純にリバ期待
あちし,湘南投資勉強会,6560,LTS プライム維持のために頑張ってくれれば
ブライ,神戸投資勉強会,6560,LTS 業績堅調でEPSとPERの水準訂正期待
kenmo@湘南投資勉強会,湘南投資勉強会,6560,エル・ティー・エス 上場から7年目。グリッチ。2023年頃から収益性の悪化に苦しんだが、マネージャー層の採用など中堅人材が徐々に厚くなっており収益性回復フェーズへ。プライム流通時価総額達成に向けて、2月の本決算で①今期の収益性改善②強気の中期経営計画③株主還元の大幅な拡充④従業員・経営陣へのインセンティブプランの発表⑤最終奥義高額クオカード優待、この辺りが出てくる可能性あり。グロリン(3486)と迷ったが目標株価(流通時価総額100億円)との乖離と打ち手の広さを考えて、こちらを選択。
のり丸,新高値ブレイク投資塾,6561,HANATOUR JAPAN 中国人の日本滞在ビザ緩和で来訪者増加
ヨシ,湘南投資勉強会,6565,ABホテル インバウンド恩恵と割安からの水準訂正（PER是正とEPS成長）
タッピィ,所属していません,6566,要興業(6566)。世界一の都市である東京のゴミ処理を支配。ファンドが着々と買い進めており、株価として反映され始めて来た。
fukufukuro,湘南投資勉強会,6577,ベストワンドットコム 粗利率大きいチャータークルーズに手応え。今後件数増大する。ロイヤルカリビアンクルーズ(米)はコロナ後の底値から8倍。日本市場はまだまだクルーズ事業は成長の余地大きく時価総額小さく株価も上昇余地大きいと想定。
とっしー,湘南投資勉強会,6580,ライトアップ　AI事業の確変
本屋,湘南投資勉強会,6580,ライトアップ 四季報見て何となくもう1回相場来ないかな？
でこぽん,神戸投資勉強会,6580,ライトアップ 受注絶好調のAI事業が業績に反映されてくるはず
猫三昧,神戸投資勉強会,6584,"6584三桜工業
サーバー水冷機器の本格採用広がる"
JoJo,湘南投資勉強会,6594,ニデック の冷却装置が次世代半導体向けの冷却技術として期待されている。株価も全盛期より大きく低く上昇の余裕が大きい
FN,神戸投資勉強会,6597,HPCシステムズ　　量子コンピュータ
TS開運,湘南投資勉強会,6597,HPCシステムズ 量子コンピューターへの期待
エル川,湘南投資勉強会,6612,バルミューダ　バルミューダフォンの大コケで株価が地に落ちるが、会計上は既に清算済み。キッチン用品では高級イメージ路線を継続中。これから人々がバルミューダフォンを忘れればワンチャン。
ULTRAGENKI 旧サバイブ,湘南投資勉強会,6617,東光たけだけ 1月上旬上方修正＆隠れ電力部材
なつみ,湘南投資勉強会,6625,JALCO パチンコホール向け不動産金融。増資で収益物件獲得加速。ワンマン社長。
ポンポコたぬき,湘南投資勉強会,6625,JALCO 斜陽のパチンコ業界（市場規模16兆円）再編を制する企業。パチンコ営業権を評価し仲介できる上場企業はここだけ。
秋吉義明,湘南投資勉強会,6625,JALCO 順調な不動産売買
どみの,神戸投資勉強会,6625,JALCO 増配による株価上昇に期待。２倍は厳しいが…
大きなかぶ,湘南投資勉強会,6625,"JALCOホールディングス
累進配当で25年3月期は1株配当18円で下値は限定。
26年3月期の3Qまでに岩槻案件の売却が実行され、販売用不動産売却も一定数あれば、EPS60円程度いけそう。配当30円、配当利回り4％の水準まで上場し750円で2倍達成。"
おのこ,所属なし,6638,ミマキエンジニアリング　グローバルニッチトップ。応援したい企業。
こうへい,湘南投資勉強会,6643,戸上電機製作所 値上げにより利益率改善が進んでおり、株主還元姿勢も良化してきているため。また電力関連銘柄でテーマ的にも期待が持てるため。
K,神戸投資勉強会,6644,大崎電気工業 2014年から導入された現行スマートメーターの検定期間終了に伴い1年遅れていた新型スマートメーターへの交換需要が25年度後半から継続的に発生する。
だいふく,湘南投資勉強会,6644,大崎電気工業　電力向け次世代スマートメーター国内首位。2014年から始まったスマートメータの交換需要が来る。(10年で交換)。
ビョル,神戸投資勉強会,6644,大崎電気　スマートメーター
ポンポコたぬき,湘南投資勉強会,6658,シライ電子 創業者と孫のお家騒動が過熱。
なべさん@高配当バリュー投資家,湘南投資勉強会,6658,"シライ電子工業
PER5.9倍、配当利回り5.1%。
お家騒動や村上息子の株主浮上で、大幅還元増あれば。"
愛媛のユウ,神戸投資勉強会,6666,リバーエレテック シクリカルの回復期なので期待しています。
次男坊,神戸投資勉強会,6666,リバーエレテック 超強気な中期経営計画を信じて。エッジAIなど通信の需要拡大を期待
かめぞう,湘南投資勉強会,6670,MCJ　10月のWindows10終息特需、データセンターの液体冷却技術導入による業績拡大
end,湘南投資勉強会,6670,"MCJ
Windows10サポート終了によるパソコン買い替え需要。
PER11.1倍。大型だが利益率改善傾向。"
よつば,神戸投資勉強会,6696,トラース　電力関係で
ごはん,湘南投資勉強会,6728,アルバック AIに期待
ダニエル,湘南投資勉強会,6728,アルバック　成長＋増配
本屋,湘南投資勉強会,6741,"日本信号 pbr0.6で割安 鉄道各社値上げ→ホームドアに投資加速 ここは列車制御もやっている。新型の列車制御装置が各社で導入始まっていて追い風。

インド新幹線の本命？(日立かもしれないけど)
インド新幹線、総延長500km、信号は日本式、東北新幹線E2がベース。26年1部開業目指す。直近の北陸新幹線延伸工事の資料みると1年前には線路がほぼ出来てないといけないので来年中に何かしらのうごきがあるはず。
まだ、明電舎くらいしかメーカー系で名前出てきてない(明電舎は北海道新幹線100kmの時は100億のプロジェクト、売上インパクト低そうで除外)
"
fukufukuro,湘南投資勉強会,6742,京三製作所 信号システム受注好調。半導体回復。
本屋,湘南投資勉強会,6743,"大同信号 PBR0.3 同業はpbr0.6でそもそも安い
①主要取引先のJR東が値上げ→信号の予算も増えるはず。業界的に人手不足でシステム系に投資をして行く傾向なので列車制御系の仕事には追い風
②工場拡張→国内は成熟、海外案件期待。就活系の媒体でエリアに関する言及ありで案件具体化しそう。
本命は違うだろうけどワンチャン、インド新幹線受注で時の人になって欲しい。(笑)
インド新幹線、総延長500km、信号は日本式、東北新幹線E2がベース。26年1部改行目指す。直近の北陸新幹線延伸工事の資料みると1年前には線路がほぼ出来てないといけないので来年中に何かしらのうごきがあるはず。
まだ、明電舎くらいしかメーカー系で名前出てきてない。"
yoshi,湘南投資勉強会,6743,大同信号 信号大手のなかで最も低PBR
ビョル,神戸投資勉強会,6743,大同信号　PER4.44PBR0.3でミックス係数安すぎる
カヌレ,湘南投資勉強会,6744,能美防災　都市の再開発、物流倉庫の建設、インバウンド需要による施設の建設、製造業の日本回帰による工場の建設などの引き合いが高く、市場環境が良好。
saku,湘南投資勉強会,6752,パナソニックホールディングス　大型JTCの出遅れ。AI等テーマ性がある
AK,神戸投資勉強会,6752,パナソニック　次の日立的に上昇を期待。事業再編進む。テスラ向けの業績拡大も来期後半から出てくるかと思う。
ピノキオ,湘南投資勉強会,6752,パナソニック　社内改革中。事業再編も行なっており2025年はパナソニック逆襲の年となる
りょう,湘南投資勉強会,6754,アンリツ
日生牡蠣,どちらの勉強会にもまだ参加したことがないです,6758,ソニー　昨年後半からIP株が強いので、その流れは今年も継続しそうだから。
こた,湘南投資勉強会,6777,ｓａｎｔｅｃ
ULTRAGENKI 旧サバイブ,湘南投資勉強会,6777,santec  隠れ  データセンター  光通信 ブローコム
たっくん,神戸投資勉強会,6777,"ｓａｎｔｅｃ
生成AI関連"
キユーピー,湘南投資勉強会,6777,"サンテックHD
量子コンピュータの時流に乗る。
光子分野などの独自技術を量子コンピューター分野で活用。空間光変調器が量子コンピュータ研究で活躍する。"
くりご飯,湘南投資勉強会,6779,日電波　大真空と同じ
愛媛のユウ,神戸投資勉強会,6779,日本電波工業 シクリカルの回復期なので期待しています。
9984,湘南投資勉強会,6785,鈴木　同業他社比較で割安。Tier1向け自動車関連部品の新事業が順調に育ってきており自動車業界再編で成長加速・注目される可能性。
もっぴー,湘南投資勉強会,6787,メイコー 情報通信セグメントの拡大（受注元が拡散されればテーマ化）と車載の回復、半導体向けの業績寄与
ヨシ,湘南投資勉強会,6807,日本航空電子 量子コンピューター関連
メイプル,湘南投資勉強会,6814,古野電気：造船需要
らう,湘南投資勉強会,6819,伊豆シャボテンリゾート　利益率が高く動物園銘柄として唯一無二。伊豆という東京から近い立地からリピーター需要や富士の景観、温泉街の熱海が近い等から、インバウンドでの更なる拡大が見込める。財務も盤石で今後、連続増配ステージに入るのではないか。新規事業であるアニタッチ事業も好調で、伊豆だけでなく水道橋、群馬（太田）など首都圏での顧客獲得も期待。入園者数が想定をはるかに上回る増加とコメントあり、11月に上方修正している。
Y.G.,湘南投資勉強会,6838,多摩川HD 量子コンピュータ関連で低時価総額。マネゲ化したら十分２倍狙える
FN,神戸投資勉強会,6862,ミナトHD  大型受注予定あり
あちし,湘南投資勉強会,6862,ミナト 定率法による減価償却負担軽減とトップライン成長組み合わされば
ののこ,湘南投資勉強会,6862,ミナトHD Switch2関連銘柄。ROM書込み作業場5倍に増床し準備万端。パクりました。
ロニー,湘南投資勉強会,6862,ミナトホールディングス 2025年3月期は減価償却費が減少して増益になると見込まれることで中計が正当に評価される。
nazuna,湘南投資勉強会,6862,ミナトホールディングス 24/5/14に25年度の減益予想を発表した後株価が下がったが，減益はROM書き込みサービスの設備投資の減価償却費によるものであることと，受注予定の遅れにより発生したものであり，中期経営計画は達成できる -> 27年度売上高460億円 * 純利益率2.5% * PER10倍 = 予想時価総額120億円(現在 63億円)
りんたん,湘南投資勉強会,6862,ミナトホールディングス ROM書込みサービス事業の伸長を期待
愛媛のユウ,神戸投資勉強会,6862,ミナトホールディングス 来期は生産能力3.6倍に拡充したDEセグメントにより，利益が大幅成長することに期待しています。
キユーピー,湘南投資勉強会,6862,"ミナトHD
ROM書込み装置が任天堂に採用されるとポジティブ。"
猫三昧,神戸投資勉強会,6862,"6862ミナトHD
例の噂が本格的に"
エル川,湘南投資勉強会,6863,ニレコ　オプティクス事業のCLBO結晶というオンリーワン技術のニーズが半導体微細化で重要視されてきている。認知度の上昇や設備増強などで受注増加が伴えばワンチャン。
奥中 悠二朗,湘南投資勉強会,6871,日本マイクロニクス 新工場稼働が業績に寄与。AI需要はまだまだこんなもんじゃない。
とおる,湘南投資勉強会,6914,オプテックスG 監視カメラ需要増加しそうなので
明菜,神戸投資勉強会,6920,レーザー  経常最終利益過去最高 連続最高益 連続増配  先端半導体向けマスク欠陥検査装置が柱、EUV光源品独占
momota,無所属です,6920,レーザーテック　　今が底だと思われここから上昇していくと考える。
コブダイバー,神戸投資勉強会,6920,"レーザーテック 
受注高非表示、レーザー1Q受注高弱い（特にEV市場）ことやASML3Q期待外れなどで足元株価軟調ではあるが、引き続き半導体市場の拡大、受注回復、受注残高高水準、リードタイム短縮の実現が具体的に見えていたタイミングで見直しを期待したい。EPS1000円、PER30倍で30000円。"
ごろんちゃん,湘南投資勉強会,6920,レーザーテック だいぶ下がったので受注が伸びたら株価も復活
Lima,湘南投資勉強会,6920,レーザーテック　好業績、悪材料出尽くしでどこかで反転
ゆきお,湘南投資勉強会,6932,遠藤照明 27年蛍光灯生産終了によるオフィスLED切り替え需要。
べいべー,湘南投資勉強会,6932,遠藤照明　蛍光灯生産終了カタリスト有。自分のマンションの街灯もLEDに入替になった。そろそろ特需来るのでは？
はっとり波平,無所属(kabuberry?),6932,藤照照明 LED2027年蛍光灯 商業施設用照明で国内トップ級。LED照明を積極展開のため
TAKAS,湘南投資勉強会,6954,ニデック　買いやすい価格帯にいて話題性や成長性もあるため。
saku,湘南投資勉強会,6955,浜松ホトニクス　今年かはわからないけど3年以内に倍には戻すでしょう。
ぴょん,湘南投資勉強会,6958,CMK 車載関連､割安放置｡中長期期待
さーさ,神戸投資勉強会,6958,日本シイエムケイ 株価の観点で底入れから上昇に転じると予想
くりご飯,湘南投資勉強会,6962,大真空　NTN普及と5GとIOT統合による通信系デバイスの普及
愛媛のユウ,神戸投資勉強会,6962,大真空 シクリカルの回復期なので期待しています。
くろせ,湘南投資勉強会,6962,大真空 そろそろ底打ち復活とか…
ぷに丸,湘南投資勉強会,6965,浜松ホトニクス いろいろと技術のある会社で、複数領域でテーマ株となればあがるかも。
次男坊,神戸投資勉強会,6965,浜松ホトニクス そろそろ顧客の在庫調整も解消されて業績回復してほしい。株価も底打ち？
くりご飯,湘南投資勉強会,6965,浜松ホトニクス　光の未来を信じる
ヒデゾー,湘南投資勉強会,6966,三井ハイテック  楽観ストーリーなら戻るかも
さーさ,神戸投資勉強会,6966,三井ハイテック 株価の観点で底入れから上昇に転じると予想
猫三昧,神戸投資勉強会,6966,"6966三井ハイテック 
ハイブリッド車売れ行き好調"
めがね,神戸投資勉強会,6976,太陽誘電  車載用の需要回復
miya,湘南投資勉強会,6976,太陽誘電 株価が低位に推移しており、PC、スマホの回復期待で上がる
日生牡蠣,どちらの勉強会にもまだ参加したことがないです,6976,太陽誘電　去年期待されていたシナリオが今年遅れてくるのを期待
くりご飯,湘南投資勉強会,6976,太陽誘電　某インフ...ではなく、Windows10サポ終了、DC需要など。
くりご飯,湘南投資勉強会,6997,日ケミ　来期にアルミ電解コンデンサ復調、新製品、ド底銘柄なため。
愛媛のユウ,神戸投資勉強会,6997,日本ケミコン シクリカルの回復/拡大なので期待しています。
ぱお,湘南投資勉強会,7003,三井E&S  増収増益基調が続く見込みで更に評価されるはず
グラッチ,湘南投資勉強会,7003,三井E&S  造船と港湾
まこ,湘南投資勉強会,7003,三井e&s  予定通り順調にいけば増収増益になるも思います
ダンベルドア,湘南投資勉強会,7003,三井E&S クレーン事業の実績が反映されたら
ユーキ,湘南投資勉強会,7003,三井E&S　クレーン続報で人気化
ぼーい。,神戸投資勉強会,7003,三井E＆S　株価倍になったとしても指標的に全然安いし、造船バブルは今年以降が本番だと思うから。
大陸浪人,湘南投資勉強会,7003,三井Ｅ＆Ｓ 業績底堅く、指標面で割安
がっしー会長,神戸投資勉強会,7003,三井E&S 港湾クレーンについてアメリカ関連の受注動向が具体化し、期待感が増す為
きよし,湘南投資勉強会,7003,三井E&S　今年も船の年になりそう。
kazu4565,湘南投資勉強会,7003,三井E＆S　地政学的に日本の造船エンジン、クレーンは買われる
与野,湘南投資勉強会,7003,三井E&S　舶用エンジン・港湾クレーンともに好調
sei,湘南投資勉強会,7003,三井Ｅ＆Ｓ。売り方さんもうええでしょう。。
DAIBOUCHOU,湘南投資勉強会,7003,"	三井E&S　船舶エンジン好調に加えて、地政学リスク回避のクレーン受注が進む。"
豚さがり,湘南投資勉強会,7011,三菱重工　【カタリスト】防衛装備品の輸出、原子力発電
Bolsa,湘南投資勉強会,7011,三菱重工　防衛関連で本命
Meril,湘南投資勉強会,7012,川崎重工 防衛としてもう一段の上昇
きよし,湘南投資勉強会,7014,名村造船　今年も船の年になりそう。
ぼーい。,神戸投資勉強会,7014,名村造船　三井E＆Sと同じ理由。
今亀庵,湘南投資勉強会,7014,名村造船　造船数の増加継続
DAIBOUCHOU,湘南投資勉強会,7014,"	名村造船所　まだ割安。船価上昇に加えて円安も追い風。"
sei,湘南投資勉強会,7014,名村造船。もはや執念と神頼み
KR,湘南投資勉強会,7018,内海造船
Y.G.,湘南投資勉強会,7018,内海造船 これまで円建て決済の受け渡しで低利益率も、今後ドル建て外航船の契約の売上が乗ってくるのでEPS伸び＊バリュエーション改善で２倍以上狙える
むね坊主,神戸投資勉強会,7018,内海造船　外航船受注で利益増。2026年以降に受け渡しだと無理
FN,神戸投資勉強会,7030,スプリックス　　プライムめざす
えびす,湘南投資勉強会,7030,スプリックス、在日外国人の日本語を話せない子供の未就学者増で日本語教育がテーマに上がる（中国人様日本語学校開設、TOFAS（日本語の検定に使える？））
めそ,湘南投資勉強会,7038,フロンティアマネジメント
ゆうと,神戸投資勉強会,7038,"フロンティア・マネジメント
同社は前期M&Aアドバイザリー事業が大きく足を引っ張り、一転赤字に転落する下方修正をおこない、株価も大幅に下がりました。また2024年8月には元々同社の創業者の1人の松岡氏の保有株をM&Aキャピタルパートナーズが取得し、現所では筆頭株主に躍り出ている状況です。これが同社の主導であれば筆頭株主との業務提携や資本業務提携などのアクションがあってもおかしくないところです。ところがそのような音沙汰がないことから、M&Aキャピタルパートナーズが経営責任の追及(現在の株価からでは相当な含み損であるため)し、経営権の取得に動いた場合、会社側も株主還元の強化など株価対策を打って出る可能性もあると思われます。まずは3月の定時株主総会での動向に注目したいところですが、今後特殊状況に陥った際には2倍程度の上値はあるものと思われます。"
マックス,草を食べて暮らそう会,7046,tdse チャート的に下にあるような気がするからです。
kawasemi7,湘南投資勉強会,7047,ポート　25年も人材紹介が業績をけん引、エネルギー事業もM&Aや提携で業績拡大が期待できる
フィナンシェ,神戸投資勉強会,7047,ポート そろそろ上がりませんか。。
キリン@神戸投資勉強会,神戸投資勉強会,7047,ポート　マクビーとおなじ
おのこ,所属なし,7047,ポート　人材とエネルギーで真のグロース企業。我慢し続けたので、2025年期待！
まちゃ,湘南投資勉強会,7047,ポート 魅力的な中計だが人気がでない。起爆すれば2倍も有り得る
かもめ,湘南投資勉強会,7047,ポート。成長してるのに株価軟調でさすがに低PER担ってきてるシリーズ。
だいたーん,湘南投資勉強会,7047,ポート足元の業績の伸びと優待導入など会社からの現在の株価の不満を感じる、上下に振れやすい印象のため、好調が続けば2倍も。
たぬ吉,湘南投資勉強会,7047,ポート7047　売上高　営業利益など成長力が高い
あちし,湘南投資勉強会,7050,フロンティアインター 万博関連
とおるがfire,湘南投資勉強会,7056,臍帯血の処理・保管の細胞バンク事業で国内民間市場独占。
今亀庵,湘南投資勉強会,7057,NCN   構造計算強化
MT,神戸投資勉強会,7059,コプロ・ホールディングス
あんこ,湘南投資勉強会,7059,コプロホールディングス　人手不足の建築向け派遣、毎年増配。四季報通りEPS2割成長なら現状のper15は割安。高配当でもあるので2倍期待。
タッチ,湘南投資勉強会,7059,"コプロホールディングス
建設人材不足の時流に乗ってるから"
kawasemi7,湘南投資勉強会,7061,日本ホスピスHD　24年売られまくった業種であり、その中でもまじめに適正に保険料の申請をしている会社だと思うから
roku,湘南投資勉強会,7062,フレアス　ホスピス開始
ISO,湘南投資勉強会,7062,フレアス　介護施設増加による売上増
りんたん,湘南投資勉強会,7062,フレアス 強気な中計を評価する風向きが再び強まればあるいは。
roku,湘南投資勉強会,7065,UPR  　下がりすぎ
えむじぇい,湘南投資勉強会,7069,サイバー・バズ ギャンブル枠。売掛金の回収進まず評価は下がる。しかし、SNS運用は時流であり再評価の流れあるかも。
さざなみ,湘南投資勉強会,7071,アンビス 　下がりすぎ、単純にリバ期待
kawasemi7,湘南投資勉強会,7071,アンビスHD　24年は株価が約4分の１とかなり売りこまれてしまっており、26年に向けて業績回復が鮮明になってくれば株価回復が期待できる
にからご,湘南投資勉強会,7071,アンビスホールディングス　売られすぎ。利用者、医療者、社会にとっても必要な施設だと思うから。
とらほう,神戸投資勉強会,7082,ジモティー ジモスポ事業の拡大に期待
リネラブ,神戸投資勉強会,7083,AHCグループ 福祉事業好調による黒字転換
はっとり波平,無所属(kabuberry?),7087,ウイルテック 製造工場における派遣 半導体工場稼働に伴い期待
ブライ,神戸投資勉強会,7089,フォースタートアップス 株主の入れ替わり完了で売り圧力少なそう。株主還元も期待
kenmo@湘南投資勉強会,湘南投資勉強会,7089,フォースタートアップス 上場から5年目。グリッチ。市場からは見放され、スタートアップ冬の時代を体現するような株価。この位置はどう考えても安い。会社としても自社株買いでアピール。スタートアップ企業の資金調達総額が底打ち反転しており、スタートアップ冬の時代からようやく春の時代へ。オフィス移転済みで二重家賃の発生もなく、来期は営業利益率15％を目指すと明言。収益化フェーズなるか。志水社長もやる気十分で株価に対して強烈な課題意識を持っている点も◎
AK,神戸投資勉強会,7089,フォースタートアップス　　コスト低下と業績回復期待　PERも拡大し2倍に。
ひかり,無所属,7094,NexTone 日本のアニメ、音楽ブームがきているため
まつ,湘南投資勉強会,7094,NexTone 2025年は売り上げだけではなく利益もついてきて再評価される。今度こそグロースの時代が到来する！
KR,湘南投資勉強会,7094,NexTone 会社中計通りなら翌期利益+80%程度。中計通りに会社成長していくなら
opopo,湘南投資勉強会,7094,NexTone 中計実現期待。売上実現の蓋然性は高いので、コスト削減のみなので、実現可能性が高そう。
おのこ,所属なし,7095,Macbee Planet　成功報酬型市場の拡大に伴う成長に期待。株価への意識高い
初心,湘南投資勉強会,7095,Macbee 売られすぎ？
牛肉太郎,神戸投資勉強会,7095,マクビープラネット　そもそも成長意欲の高い会社であること、貸付金の件が尾を引いて安い。積極的に勉強会も登壇しているので、ビックチェンジがあれば即人気化しそう。
キリン@神戸投資勉強会,神戸投資勉強会,7095,マクビープラネット　成長続けているのにper10切りそう
ポンポコたぬき,湘南投資勉強会,7110,クラシコム 北欧くらしの道具店は、95%以上の定価消化率を誇るブランド力を持つ。メルカリに出品された中古品でも値崩れしていない。
ダンベルドア,湘南投資勉強会,7111,INEST カブアンドとの関連が期待
ロニー,湘南投資勉強会,7111,INEST ストック収益への転換が進んでおり、グリッチであると評価される。
羽根,神戸投資勉強会,7122,近畿車輛　ECM・MFが何かするような‥
yoshi,湘南投資勉強会,7122,近畿車輛 不採算案件による株価低迷からの反転
ボブ,湘南投資勉強会,7130,ヤマエ。さすがにそろそろ買えそうな値段
なべさん@高配当バリュー投資家,湘南投資勉強会,7131,"のむら産業
予想PER6.6倍。ROE20%近く、過去4年は2桁増益。
過去は保守的に業績予想を出す傾向があり、さらに利益伸びる可能性がある。"
だいたーん,湘南投資勉強会,7133,"ヒュウガプライマ　ストック性もあり
業績も伸び、株価割安に経営陣も対策を打ちつつあるため"
くま,特になし,7134,アップガレージ　今冬雪が多く、中古スタッドレスやチェーンの販売やレンタルが好調に推移し、暖冬想定の計画から大きく上振れることを期待、また中古自転車事業や北米事業の好調も期待
まつ,湘南投資勉強会,7134,アップガレージグループ 堅調な業績に加えて、中長期成長イメージの実現が現実的になれば株価も期待と将来性を織り込んできて大きく上がると予想。
はっとり波平,無所属(kabuberry?),7134,アップガレージグループ 自動車やバイク用品のリユース品買取・販売、新品卸売り展開 アメリカでの販路拡大に期待
伊豆太郎,湘南投資勉強会,7148,FPG 直近の業績良い。
josui,湘南投資勉強会,7148,FPG 不動産小口化事業の成長
Bolsa,湘南投資勉強会,7163,SBI住信ネット銀行　ドコモのTOB
ちょる子,湘南投資勉強会,7163,住信SBI BAAS
シンタロー,湘南投資勉強会,7163,住信SBIネット銀行　BaaS事業が好調
ヒロシ,湘南投資勉強会,7163,住信ＳＢＩネット銀行 買収があれば
くろせ,湘南投資勉強会,7172,JIA このまま円安なら強気ガイダンスでどうか
どみの,神戸投資勉強会,7172,JIA 中計通りの業績を実現すれば。
DAIBOUCHOU,湘南投資勉強会,7172,"	ジャパンインベストメントアドバイザー　円安追い風。野心的な中期経営計画。"
ロカ,湘南投資勉強会,7177,GMO-FH 仮想通貨関連で材料視される
DAIBOUCHOU,湘南投資勉強会,7177,"	GMOフィナンシャルホールディングス　暗号資産取引所好調とタイの貸倒引当金の収束。"
のりこ,湘南投資勉強会,7182,"ゆうちょ銀行 割安感があり 配当も高い
金利が上がれば 2倍になるかも"
牛肉太郎,神戸投資勉強会,7199,プレミアグループ　前回未達の中期計画の時価総額達成意欲は高いとみる。また、超過達成を狙うはず。
ようこ,神戸投資勉強会,7201,日産自動車　3桁の株価から２倍になりやすいのでは、と思ったのと経営統合が良い方向に進めばチャンスではないかと思いました。
nt164,湘南投資勉強会,7203,トヨタ　ROE20% と円安
ちょる子,湘南投資勉強会,7203,トヨタ自動車　ハイブリッド車好調。為替の煽りを受ける。中国がダメでも欧米の需要増
とこいえ,湘南投資勉強会,7205,日野自 赤字→300億→500億の営業黒字の回復ぶり。225。
とりお,湘南投資勉強会,7205,日野自動車 底打ち狙い
PINO,湘南投資勉強会,7205,日野自動車　認証不正により多大な特損計上したが販売は堅調であり、悪材料出尽くしで上昇見込める
むね坊主,神戸投資勉強会,7205,日野自動車
べいべー,湘南投資勉強会,7212,"	エフテック　クオカード込みで５％超え　四季報が正しいなら来季PER4倍台
インドで＋７０億いければ復活しそう"
すっぴー,滋賀投資勉強会,7213,レシップホールディングス 2025年本決算の織り込みと同時に還元策が発表され、株価爆上げる
本屋,湘南投資勉強会,7214,"GMD 四季報通りならper4でめちゃくちゃ安い。
Per8あってもいいんじゃないですか！(笑)"
ロカ,湘南投資勉強会,7215,ファルテック 黒字化及びTOB期待
一心,湘南投資勉強会,7215,ファルテック　業績回復 セクター見直し買い
Meril,湘南投資勉強会,7220,武蔵精密 HSC
ぺるる,湘南投資勉強会,7220,武蔵精密 HSC
SAKANA,湘南投資勉強会,7220,武蔵精密工業　HSCの伸びに期待
N Powers,湘南投資勉強会,7220,武蔵精密工業 今年度中の決算でHSCの売上と利益率が一部見えてきたらもう一段上昇が期待できる
猫三昧,神戸投資勉強会,7220,"武蔵精密工業
ハイブリッドリチウムイオンスーパーキャパシターの需要が増大"
柊,湘南投資勉強会,7222,日産車体 事業再編
なべさん@高配当バリュー投資家,湘南投資勉強会,7228,"デイトナ
海外部門の成長著しい。昨年度は比率3割程度だが、成長率が7割近く、今年か来年には海外の方の利益が追い越す。それなのに昨年度PER7倍。"
とおる,湘南投資勉強会,7229,ユタカ技研 自動車部品再編期待。キャッシュリッチ
秋吉義明,湘南投資勉強会,7245,大同メタル AI、造船関連の売上好調と車関係の見直しによる上げ
一心,湘南投資勉強会,7245,大同メタル　業績回復 割安
めそ,湘南投資勉強会,7261,マツダ
さーさ,神戸投資勉強会,7261,マツダ 株価の観点で底入れから上昇に転じると予想
あきら,神戸投資勉強会,7261,マツダ　指標的に割安。自動車業界再編の波に乗るか？
今亀庵,湘南投資勉強会,7261,マツダ　米国自動車販売回復
KS,所属なし,7266,今仙電機製作所 米国と中国におけるリストラ効果が出始めて業績が回復の兆しが見え始めるはず。国内の事業拠点再編も検討中とのことで、このリストラ効果も今後見込まれる。PBR0.2x強、売上900億円強の企業の時価総額が110億円でネットキャッシュ約150億円は割安。テイ・エス テック（今仙電機は同社の持分法適用会社）から送り込まれた新社長は結果を出さざるを得ないはず
明菜,神戸投資勉強会,7267,ホンダ  2輪世界首位 インド好調 4輪は中国苦戦も世界上位 米で高収益  小型ジェット拡大。キャッシュフロー 20  21年2兆  22  23年3兆  24年4兆   売上高二期連続増収   ROEは上昇傾向なので、資本効率が改善。今期も安定成長を実現できるか。株主アンケートで、株主の意見にも耳を傾けてくれますし、カレンダーも使い易いので、長期ホルダーも増えると思います。
こうへい,湘南投資勉強会,7267,本田技研工業
にこいち,四季報investors,7269,スズキ （7269）久しぶりに自動車メーカーの株価が回復すると思う。スズキの車はデザインがよく、女性受け、海外受けしそう。今年からはインドでEVの販売も始まるので期待している。
さーさ,神戸投資勉強会,7280,ミツバ 株価の観点で底入れから上昇に転じると予想
きよし,湘南投資勉強会,7287,日本精機  今年こそは。PBR1倍目指します。
こいけ,湘南投資勉強会,7287,日本精機 業績回復と株主還元でPBR上昇
ビョル,神戸投資勉強会,7287,日本製機　PER10PBR0.31 2輪計器世界首位　26年まで総還元性向80%で業績予想悪くない　海外割合63あるのが為替の影響懸念
ぱお,湘南投資勉強会,7299,フジオーゼックス 更なる増配・優待強化を期待
スカイラー,湘南投資勉強会,7318,セレンディップ・ホールディングス M&Aによる非連続的成長
